,SiteName_x,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId,hash,SiteName_y,WindDirection,WindPower,Gust,Visibility,Temperature,Moisture,AtmosphericPressure,Weather,Rainfall1day,Unit,DataCreationDate
0,臺南,臺南市,96,細懸浮微粒,普通,2.7,0.45,0.6,64,22,63,27,13,15,2.3,1.8,272,2019/10/22 11:00,34,70,4,120.202617,22.984581,46,46-2019-10-22 11:00:00,46,西,1,,6,28.8,57,1012.1,多雲有霾,0,中央氣象局,2019/10/22 11:00
1,嘉義,嘉義市,84,細懸浮微粒,普通,4.5,0.39,0.5,65,27,52,29,9.9,11,1.1,2.2,300,2019/10/22 11:00,29,57,4,120.440833,23.462778,42,42-2019-10-22 11:00:00,42,西北,1,,12,29.3,55,1011.6,晴,0,中央氣象局,2019/10/22 11:00
2,大里,臺中市,78,細懸浮微粒,普通,3.2,0.68,0.6,73,20,47,26,23,25,2.4,2,280,2019/10/22 11:00,26,46,3,120.677689,24.099611,30,30-2019-10-22 11:00:00,30,西南西,1,,12,29.5,48,1011.3,晴,0,中央氣象局,2019/10/22 11:00
3,馬祖,連江縣,84,臭氧八小時,普通,1.3,0.23,0.3,75,65,42,21,5.3,6.2,0.8,2.8,329,2019/10/22 11:00,21,37,2,119.949875,26.160469,75,75-2019-10-22 11:00:00,75,北,2,,18,23.2,69,1015.7,多雲,0,中央氣象局,2019/10/22 11:00
4,金門,金門縣,77,臭氧八小時,普通,3,0.25,0.2,71,63,60,22,8.2,8.9,0.7,3.5,17,2019/10/22 11:00,20,52,3,118.312256,24.432133,77,77-2019-10-22 11:00:00,77,北北東,3,,15,27.3,50,1015.4,晴,0,中央氣象局,2019/10/22 11:00
5,沙鹿,臺中市,51,細懸浮微粒,普通,2.1,0.21,0.2,51,26,32,18,10,12,1.5,3.9,346,2019/10/22 11:00,16,28,2,120.568794,24.225628,29,29-2019-10-22 11:00:00,29,北北西,3,,20,27.6,57,1012.2,晴,0,中央氣象局,2019/10/22 11:00
6,萬華,臺北市,49,,良好,2.5,0.29,0.4,45,31,0,0,19,24,5.2,2.2,56,2019/10/22 11:00,15,29,1,121.507972,25.046503,13,13-2019-10-22 11:00:00,13,東,2,,35,27.5,45,1012.8,晴,0,中央氣象局,2019/10/22 11:00
7,觀音,桃園市,44,,良好,3.4,0.19,0.2,58,44,44,11,7.4,9.3,2,6,46,2019/10/22 11:00,14,33,4,121.082761,25.035503,19,19-2019-10-22 11:00:00,19,東北,4,6,16,25.6,59,1012.6,晴,0,中央氣象局,2019/10/22 11:00
8,新竹,新竹市,45,,良好,1.5,0.25,0.2,60,47,37,12,8.9,10,1.2,3,44,2019/10/22 11:00,14,31,3,120.972075,24.805619,24,24-2019-10-22 11:00:00,24,東北東,2,,12,28,53,1012.4,晴,0,中央氣象局,2019/10/22 11:00
9,基隆,基隆市,44,,良好,2.7,0.2,0.7,59,20,27,12,4.8,6.8,2,1.7,5.2,2019/10/22 11:00,13,34,2,121.760056,25.129167,1,1-2019-10-22 11:00:00,1,北北東,2,,25,24.7,57,1013.2,晴,0,中央氣象局,2019/10/22 11:00
10,馬公,澎湖縣,64,臭氧八小時,普通,1.8,0.19,0.2,65,59,40,13,3.5,7.4,3.8,4.2,27,2019/10/22 11:00,13,33,1,119.566158,23.569031,78,78-2019-10-22 11:00:00,78,北北東,3,,30,28.2,56,1012.6,晴,0,中央氣象局,2019/10/22 11:00
11,板橋,新北市,41,,良好,1.6,0.29,0.4,46,31,34,11,,,,2.5,84,2019/10/22 11:00,13,27,1,121.458667,25.012972,6,6-2019-10-22 11:00:00,6,東北東,3,,20,27.1,47,1013,晴,0,中央氣象局,2019/10/22 11:00
12,冬山,宜蘭縣,,,設備維護,1.3,0.15,0.2,53,41,0,0,4.9,6.1,1.2,1.4,55,2019/10/22 11:00,13,,1,121.792928,24.632203,66,66-2019-10-22 11:00:00,66,東,2,,20,27.4,59,1013.4,晴,0,中央氣象局,2019/10/22 11:00
13,恆春,屏東縣,44,,良好,0.8,0.11,0.1,51,48,22,11,1.3,2.8,1.5,8.2,27,2019/10/22 11:00,12,20,1,120.788928,21.958069,61,61-2019-10-22 11:00:00,61,北北東,3,6,22,27.5,62,1011.8,多雲,0,中央氣象局,2019/10/22 11:00
14,臺東,臺東縣,35,,良好,2.1,0.27,0.2,48,38,31,12,5.8,6.9,1.2,2.7,36,2019/10/22 11:00,10,23,2,121.15045,22.755358,62,62-2019-10-22 11:00:00,62,東北東,3,,25,27.5,61,1012.9,多雲,0,中央氣象局,2019/10/22 11:00
16,臺南,臺南市,100,細懸浮微粒,普通,3.7,0.63,0.6,46,16,75,37,22,27,4.6,1.3,259,2019/10/22 10:00,35,72,4,120.202617,22.984581,46,46-2019-10-22 10:00:00,46,西,1,,,27.9,63,1012.7,多雲有霾,0,中央氣象局,2019/10/22 10:00
17,嘉義,嘉義市,84,細懸浮微粒,普通,3.4,0.53,0.5,59,19,62,32,16,17,1.8,1.4,322,2019/10/22 10:00,29,59,4,120.440833,23.462778,42,42-2019-10-22 10:00:00,42,北,1,,,28.4,60,1012.2,晴,0,中央氣象局,2019/10/22 10:00
18,大里,臺中市,76,細懸浮微粒,普通,4,0.72,0.6,47,12,49,27,26,32,6.4,1,355,2019/10/22 10:00,26,46,3,120.677689,24.099611,30,30-2019-10-22 10:00:00,30,東北東,1,,,27.6,53,1012.1,晴,0,中央氣象局,2019/10/22 10:00
19,馬祖,連江縣,80,臭氧八小時,普通,1.3,0.25,0.3,66,64,43,23,6.7,7.7,1,2.6,343,2019/10/22 10:00,21,36,2,119.949875,26.160469,75,75-2019-10-22 10:00:00,75,北,2,,,22.5,71,1016,,0,中央氣象局,2019/10/22 10:00
20,金門,金門縣,74,臭氧八小時,普通,3.6,0.25,0.2,64,62,60,20,8.9,10,1.1,3.5,30,2019/10/22 10:00,20,49,3,118.312256,24.432133,77,77-2019-10-22 10:00:00,77,東北,2,,,26.1,51,1016.1,,0,中央氣象局,2019/10/22 10:00
21,萬華,臺北市,48,,良好,2.2,0.36,0.4,38,30,31,18,25,32,7.2,2.6,96,2019/10/22 10:00,15,29,1,121.507972,25.046503,13,13-2019-10-22 10:00:00,13,東,3,,,26,50,1013.8,晴,0,中央氣象局,2019/10/22 10:00
22,沙鹿,臺中市,48,,良好,2.7,0.27,0.2,33,23,36,17,17,21,4.4,3.4,335,2019/10/22 10:00,15,26,2,120.568794,24.225628,29,29-2019-10-22 10:00:00,29,北北西,3,,,26.2,62,1012.8,,0,中央氣象局,2019/10/22 10:00
23,基隆,基隆市,45,,良好,3.7,0.77,0.7,33,16,35,16,26,47,21,0.8,90,2019/10/22 10:00,14,35,2,121.760056,25.129167,1,1-2019-10-22 10:00:00,1,北北東,2,,,24.3,60,1014,多雲,0,中央氣象局,2019/10/22 10:00
24,馬公,澎湖縣,61,臭氧八小時,普通,0.9,0.2,0.2,60,58,32,15,3.4,7.2,3.7,4,44,2019/10/22 10:00,14,32,1,119.566158,23.569031,78,78-2019-10-22 10:00:00,78,東北,3,,,26.9,58,1013.1,晴,0,中央氣象局,2019/10/22 10:00
25,觀音,桃園市,46,,良好,4,0.2,0.2,52,42,32,17,12,15,3,5.1,45,2019/10/22 10:00,14,31,4,121.082761,25.035503,19,19-2019-10-22 10:00:00,19,東北東,4,,,25.4,57,1013.4,,0,中央氣象局,2019/10/22 10:00
26,新竹,新竹市,45,,良好,1.4,0.24,0.2,56,44,33,12,7.9,9.1,1.2,3.1,69,2019/10/22 10:00,14,30,3,120.972075,24.805619,24,24-2019-10-22 10:00:00,24,北北東,2,,,26.5,55,1013,晴,0,中央氣象局,2019/10/22 10:00
27,冬山,宜蘭縣,42,,良好,1.4,0.14,0.1,53,38,0,10,4,4.9,0.9,1.7,289,2019/10/22 10:00,13,24,1,121.792928,24.632203,66,66-2019-10-22 10:00:00,66,東,2,,,27,59,1014.1,晴,0,中央氣象局,2019/10/22 10:00
28,板橋,新北市,42,,良好,,,0.4,41,30,0,0,,,,3.1,74,2019/10/22 10:00,13,24,1,121.458667,25.012972,6,6-2019-10-22 10:00:00,6,東北東,2,,,26,50,1013.8,,0,中央氣象局,2019/10/22 10:00
29,恆春,屏東縣,44,,良好,0.7,0.11,0.1,49,48,22,11,,,,7.8,18,2019/10/22 10:00,12,20,1,120.788928,21.958069,61,61-2019-10-22 10:00:00,61,北北東,3,6,,27.2,57,1012.4,多雲,0,中央氣象局,2019/10/22 10:00
30,臺東,臺東縣,35,,良好,2,0.28,0.2,41,38,28,11,5.8,7.1,1.4,3,63,2019/10/22 10:00,10,21,2,121.15045,22.755358,62,62-2019-10-22 10:00:00,62,東北,2,,,27,62,1013.5,晴,0,中央氣象局,2019/10/22 10:00
31,陽明,臺北市,50,,良好,1.4,0.13,0.1,52,54,24,12,1.3,1.9,0.6,0,0,2019/10/22 10:00,10,20,1,121.529583,25.182722,64,64-2019-10-22 10:00:00,64,東北,2,,,18,85,,,0,中央氣象局,2019/10/22 10:00
32,臺南,臺南市,97,細懸浮微粒,普通,4.6,0.83,0.6,30,12,73,39,29,36,6.7,1,356,2019/10/22 09:00,34,71,4,120.202617,22.984581,46,46-2019-10-22 09:00:00,46,西北,1,,5,26.2,68,1013.2,多雲有霾,0,中央氣象局,2019/10/22 09:00
33,嘉義,嘉義市,83,細懸浮微粒,普通,2.2,0.71,0.5,42,12,59,29,18,21,2.8,1.2,12,2019/10/22 09:00,29,58,4,120.440833,23.462778,42,42-2019-10-22 09:00:00,42,北北東,1,,10,26.1,67,1012.8,晴,0,中央氣象局,2019/10/22 09:00
34,大里,臺中市,74,細懸浮微粒,普通,4.6,0.98,0.6,17,6,53,32,32,46,14,0.9,120,2019/10/22 09:00,25,44,3,120.677689,24.099611,30,30-2019-10-22 09:00:00,30,東,1,,12,26.1,61,1012.8,晴,0,中央氣象局,2019/10/22 09:00
35,馬祖,連江縣,84,臭氧八小時,普通,2,0.31,0.3,60,65,41,23,7.1,8.1,1,1.5,345,2019/10/22 09:00,21,34,2,119.949875,26.160469,75,75-2019-10-22 09:00:00,75,北,2,,,23.3,70,1016,,0,中央氣象局,2019/10/22 09:00
36,金門,金門縣,71,臭氧八小時,普通,2.7,,0.2,61,61,53,18,7.5,8,0.6,3.6,17,2019/10/22 09:00,20,47,3,118.312256,24.432133,77,77-2019-10-22 09:00:00,77,東北,2,,,24.9,55,1016.2,,0,中央氣象局,2019/10/22 09:00
37,沙鹿,臺中市,47,,良好,2.6,0.32,0.2,23,21,27,12,19,25,6.7,2.8,343,2019/10/22 09:00,15,24,2,120.568794,24.225628,29,29-2019-10-22 09:00:00,29,北,3,,,24.1,67,1013.3,,0,中央氣象局,2019/10/22 09:00
38,基隆,基隆市,44,,良好,4.2,1.13,0.6,8.5,15,37,14,34,89,56,0.5,104,2019/10/22 09:00,14,34,2,121.760056,25.129167,1,1-2019-10-22 09:00:00,1,西,1,,15,22.8,65,1014.7,陰,0,中央氣象局,2019/10/22 09:00
39,新竹,新竹市,46,,良好,2.5,0.32,0.3,48,41,31,18,14,15,1.7,3.3,72,2019/10/22 09:00,14,28,3,120.972075,24.805619,24,24-2019-10-22 09:00:00,24,東北,2,,15,25.9,57,1013.7,晴,0,中央氣象局,2019/10/22 09:00
40,萬華,臺北市,45,,良好,1.6,0.56,0.3,28,31,32,15,29,38,9.1,1.9,116,2019/10/22 09:00,14,28,1,121.507972,25.046503,13,13-2019-10-22 09:00:00,13,東南,2,,30,25.4,51,1014.4,晴,0,中央氣象局,2019/10/22 09:00
41,冬山,宜蘭縣,45,,良好,1.3,0.14,0.1,53,36,0,11,2.9,3.7,0.8,2.4,333,2019/10/22 09:00,14,23,1,121.792928,24.632203,66,66-2019-10-22 09:00:00,66,西,1,,20,25.3,59,1014.8,晴,0,中央氣象局,2019/10/22 09:00
42,馬公,澎湖縣,58,臭氧八小時,普通,0.8,0.18,0.2,58,57,31,10,2.7,6.4,3.7,5.1,29,2019/10/22 09:00,13,32,1,119.566158,23.569031,78,78-2019-10-22 09:00:00,78,東北,3,,20,26.1,63,1013.1,晴,0,中央氣象局,2019/10/22 09:00
43,觀音,桃園市,43,,良好,3.2,0.25,0.2,47,41,32,8,14,17,3.1,4.1,70,2019/10/22 09:00,13,29,4,121.082761,25.035503,19,19-2019-10-22 09:00:00,19,東北東,3,,,24.6,57,1014,晴,0,中央氣象局,2019/10/22 09:00
44,板橋,新北市,41,,良好,2,0.77,0.4,,30,32,15,37,59,22,2.3,106,2019/10/22 09:00,13,24,1,121.458667,25.012972,6,6-2019-10-22 09:00:00,6,東北東,1,,,23.8,62,1014.6,,0,中央氣象局,2019/10/22 09:00
45,恆春,屏東縣,45,,良好,0.8,0.11,0.1,47,49,18,13,0.8,2.6,1.8,8.4,27,2019/10/22 09:00,12,19,1,120.788928,21.958069,61,61-2019-10-22 09:00:00,61,東北,4,6,22,26.5,62,1012.3,晴,0,中央氣象局,2019/10/22 09:00
46,臺東,臺東縣,35,,良好,2,0.3,0.2,32,38,25,10,6.1,7.7,1.6,1.8,322,2019/10/22 09:00,10,20,2,121.15045,22.755358,62,62-2019-10-22 09:00:00,62,北,1,,35,25.1,65,1013.8,多雲,0,中央氣象局,2019/10/22 09:00
47,陽明,臺北市,50,,良好,1.4,0.13,0.1,52,54,22,13,1.6,2.3,0.6,,,2019/10/22 09:00,10,20,1,121.529583,25.182722,64,64-2019-10-22 09:00:00,64,東,1,,,17.4,89,,,0,中央氣象局,2019/10/22 09:00
48,陽明,臺北市,51,臭氧八小時,普通,1.3,0.13,0.1,54,55,19,9,1.4,1.8,0.5,,,2019/10/22 08:00,9,19,1,121.529583,25.182722,64,64-2019-10-22 08:00:00,64,東北,2,,20,16.4,87,,多雲,0,中央氣象局,2019/10/22 08:00
49,臺東,臺東縣,36,,良好,1.9,0.31,0.2,32,39,21,11,5.5,6.1,0.5,2.5,305,2019/10/22 08:00,9,18,2,121.15045,22.755358,62,62-2019-10-22 08:00:00,62,北北西,1,,35,23.3,73,1013.6,陰,0,中央氣象局,2019/10/22 08:00
50,臺南,臺南市,93,細懸浮微粒,普通,5.8,0.85,0.5,12,10,78,39,33,45,12,1.6,41,2019/10/22 08:00,32,70,4,120.202617,22.984581,46,46-2019-10-22 08:00:00,46,北,2,,5,24.1,73,1013,多雲有霾,0,中央氣象局,2019/10/22 08:00
51,嘉義,嘉義市,83,細懸浮微粒,普通,2.4,0.71,0.5,19,8,61,28,21,27,5.8,1.2,74,2019/10/22 08:00,28,58,4,120.440833,23.462778,42,42-2019-10-22 08:00:00,42,北北東,1,,9,23.5,80,1012.5,晴有靄,0,中央氣象局,2019/10/22 08:00
52,大里,臺中市,70,細懸浮微粒,普通,3.8,0.88,0.5,5.9,5,46,29,23,40,17,1.2,234,2019/10/22 08:00,23,42,3,120.677689,24.099611,30,30-2019-10-22 08:00:00,30,東南,1,,12,23.4,73,1013,晴,0,中央氣象局,2019/10/22 08:00
53,金門,金門縣,67,臭氧八小時,普通,2,0.24,0.2,60,60,43,19,7.7,8,0.3,3,19,2019/10/22 08:00,20,46,3,118.312256,24.432133,77,77-2019-10-22 08:00:00,77,北,3,,15,22.4,61,1016.2,晴,0,中央氣象局,2019/10/22 08:00
54,馬祖,連江縣,90,臭氧八小時,普通,1.8,0.31,0.2,60,67,35,22,6.1,6.9,0.8,2.1,336,2019/10/22 08:00,20,32,2,119.949875,26.160469,75,75-2019-10-22 08:00:00,75,北,2,,20,21.8,73,1016,多雲,0,中央氣象局,2019/10/22 08:00
55,觀音,桃園市,48,,良好,3.5,0.28,0.2,38,40,31,18,19,22,3.1,3.6,87,2019/10/22 08:00,15,29,4,121.082761,25.035503,19,19-2019-10-22 08:00:00,19,東北東,3,,16,23.5,60,1013.9,晴,0,中央氣象局,2019/10/22 08:00
56,沙鹿,臺中市,48,,良好,2.4,0.42,0.2,12,22,29,17,22,31,8.8,1.9,350,2019/10/22 08:00,15,23,2,120.568794,24.225628,29,29-2019-10-22 08:00:00,29,北,2,,20,22,71,1013.5,晴,0,中央氣象局,2019/10/22 08:00
57,馬公,澎湖縣,58,臭氧八小時,普通,0.7,0.21,0.2,57,57,30,11,2.8,6.4,3.6,5,34,2019/10/22 08:00,14,32,1,119.566158,23.569031,78,78-2019-10-22 08:00:00,78,東北,3,,20,24.9,65,1013.3,晴,0,中央氣象局,2019/10/22 08:00
58,新竹,新竹市,44,,良好,2.8,0.31,0.3,44,39,31,14,14,15,1.2,3,45,2019/10/22 08:00,14,28,3,120.972075,24.805619,24,24-2019-10-22 08:00:00,24,北北東,2,,15,23.9,64,1013.9,晴,0,中央氣象局,2019/10/22 08:00
59,萬華,臺北市,44,,良好,1.4,0.61,0.3,15,31,26,16,32,44,13,1.2,161,2019/10/22 08:00,14,27,1,121.507972,25.046503,13,13-2019-10-22 08:00:00,13,東南東,1,,30,23.4,61,1014.3,晴,0,中央氣象局,2019/10/22 08:00
60,冬山,宜蘭縣,46,,良好,1.4,0.24,0.1,35,35,29,19,7.5,9.1,1.6,1.5,291,2019/10/22 08:00,14,23,1,121.792928,24.632203,66,66-2019-10-22 08:00:00,66,西,1,,15,23.8,69,1014.4,晴,0,中央氣象局,2019/10/22 08:00
61,基隆,基隆市,42,,良好,4.5,1.86,0.5,3.3,17,54,14,,,,0.5,109,2019/10/22 08:00,13,31,2,121.760056,25.129167,1,1-2019-10-22 08:00:00,1,南,1,,20,21.3,73,1014.3,陰,0,中央氣象局,2019/10/22 08:00
62,板橋,新北市,40,,良好,1.6,0.59,0.3,15,31,24,12,27,38,10,1.6,95,2019/10/22 08:00,12,22,1,121.458667,25.012972,6,6-2019-10-22 08:00:00,6,東北,2,,18,22.7,69,1014.4,晴,0,中央氣象局,2019/10/22 08:00
63,恆春,屏東縣,45,,良好,0.7,0.12,0.1,47,49,22,16,0.8,2.7,2,9.2,22,2019/10/22 08:00,12,19,1,120.788928,21.958069,61,61-2019-10-22 08:00:00,61,東北,3,,22,25.1,71,1012.2,多雲,0,中央氣象局,2019/10/22 08:00
64,陽明,臺北市,51,臭氧八小時,普通,1.2,0.13,0.1,54,55,19,11,1,1.4,0.4,,,2019/10/22 07:00,9,18,1,121.529583,25.182722,64,64-2019-10-22 07:00:00,64,不定,1,,,15.5,89,,,0,中央氣象局,2019/10/22 07:00
65,臺東,臺東縣,37,,良好,1.8,0.23,0.2,36,40,27,10,3.3,3.2,/0.1,2,314,2019/10/22 07:00,9,17,2,121.15045,22.755358,62,62-2019-10-22 07:00:00,62,北北西,1,,,22.6,75,1013.2,,0,中央氣象局,2019/10/22 07:00
66,臺南,臺南市,89,細懸浮微粒,普通,6.1,0.63,0.5,5,11,74,37,31,39,7.4,1.1,21,2019/10/22 07:00,31,68,4,120.202617,22.984581,46,46-2019-10-22 07:00:00,46,北,2,,,22.6,78,1012.6,,0,中央氣象局,2019/10/22 07:00
